sl_no,project_id,project_code,legacy_ocms_code,pmgid,project_name,agency,ministry,sector,state,approval_date,start_date,target_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,cost_growth_pct,expenditure_ratio_pct,cost_overrun_cr,schedule_extension_months,is_cost_escalated,is_schedule_extended,provenance
1,PAI-612786,612786,N04000106,,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,03/2023,01/2024,01/2026,07/2026,265.91,265.91,129.07,65.0,0.0,48.54,0.0,6.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
2,PAI-701107,701107,N04000091,4353,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,06/2020,09/2020,09/2022,10/2026,611.8,611.8,523.14,87.2,0.0,85.51,0.0,49.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
3,PAI-701121,701121,N04000103,,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,12/2022,08/2023,08/2025,06/2026,347.15,347.15,170.79,90.0,0.0,49.2,0.0,10.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
4,PAI-706724,706724,N04000083,9925,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Assam,12/2016,03/2018,03/2025,06/2026,1712.0,2520.0,2627.39,98.0,47.2,104.26,808.0,15.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
5,PAI-612183,612183,,9918,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,08/2024,04/2025,03/2027,,1413.0,1413.0,7.64,1.28,0.0,0.54,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
6,PAI-612194,612194,N04000112,9917,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,07/2024,07/2024,07/2026,11/2026,911.66,911.66,374.49,65.0,0.0,41.08,0.0,4.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
7,PAI-701101,701101,N04000082,4356,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,10/2018,10/2018,05/2026,05/2026,1216.9,1216.9,1200.67,98.22,0.0,98.67,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
8,PAI-701105,701105,N04000095,4831,Goa Airport Terminal Building Extension Project,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Goa,11/2017,12/2019,12/2021,04/2026,255.69,255.69,156.7,100.0,0.0,61.29,0.0,52.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
9,PAI-619054,619054,,,Development of Keshod Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,01/2024,07/2025,01/2027,,363.1,363.1,87.88,33.13,0.0,24.2,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
10,PAI-701126,701126,N04000099,3366,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,06/2022,07/2022,06/2026,06/2026,1305.0,1551.0,896.82,82.0,18.85,57.82,246.0,0.0,True,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
